test_id,rating
0,3.359901379426698
1,3.6599013794266986
2,3.7440320064013277
3,3.4886773119741807
4,4.625590528986813
5,4.9437723471686335
6,2.3702136941554754
7,5
8,4.557844596370178
9,2.853840773366091
10,3.0938726712927256
11,5
12,4.713595960707486
13,4.920864313758508
14,4.509351928877247
15,4.988204381098574
16,5
17,1
18,1.275424687194716
19,1
20,5
21,4.185837208303703
22,4.299048666248404
23,4.8982880528101544
24,3.869665512559707
25,5
26,5
27,4.665653591816079
28,5
29,4.4599013794266975
30,1.6773578202520145
31,5
32,4.2099013794266975
33,5
34,3.8659353203443585
35,3.7932347127600305
36,5
37,5
38,3.9599013794266975
39,5
40,5
41,3.6169742575357575
42,4.707281963136971
43,3.1572938306037486
44,5
45,4.219452174468556
46,5
47,2.6235470274888093
48,3.9568803608221432
49,3.0105638342573835
50,4.049729455968096
51,4.989123395362036
52,3.3332803213707147
53,3.575061869620979
54,4.3867654182934075
55,3.3431778116499653
56,3.1319123087685443
57,2.906127794521037
58,3.0061277945210367
59,3.3982111058136932
60,2.3194123087685443
61,2.2836980230542596
62,1
63,2.386765418293407
64,1
65,4.3867654182934075
66,3.571956279558868
67,2.357670565273153
68,3.357670565273153
69,4.069412308768545
70,2.849869743993153
71,4.069412308768545
72,3.5867654182934063
73,3.126901334503921
74,2.9132261208287082
75,2.357670565273153
76,1
77,4.423786300174413
78,4.592064571832624
79,4.192064571832623
80,4.318255048023101
81,4.747238535764118
82,3.9237091239994113
83,4.79323471276003
84,1.2349335821565433
85,5
86,4.163493143261195
87,5
88,3.6202148716029843
89,3.1202148716029843
90,3.7468264765945296
91,2.7349335821565433
92,1.7349335821565433
93,4.300327338852921
94,3.954381392906975
95,3.817044236569555
96,3.0371847517920374
97,5
98,4.153586868194155
99,4.894327608934895
100,1.382119633507747
101,5
102,5
103,4.300577608934895
104,5
105,3.3420645718326236
106,3.097996617521935
107,4.396222289116484
108,4.315453058347253
109,2.85348977665703
110,3.8931448599094436
111,4.361784049760211
112,3.4728951608713228
113,1.8015418205439229
114,4.233017152542472
115,4.062170757558145
116,3.7829133758075697
117,5
118,5
119,4.203505010727971
120,3.8521024476925994
121,3.5585748703449
122,3.8152136941554757
123,2.940381859907178
124,3.141171714689766
125,3.7752376487557004
126,1.4197550107279717
127,4.3478934430315554
128,3.5896516847897972
129,4.114127209265321
130,3.505777258399788
131,4.331647905165956
132,3.899755010727972
133,2.5934306920512036
134,5
135,3.8791025830443657
136,4.5937440506208125
137,3.7340949278137945
138,4.2015513686391115
139,2.739262490650603
140,4.020647867870829
141,2.8828875486182137
142,2.7328406742274285
143,2.427962625446941
144,3.281855174749368
145,3.885827305352625
146,2.448521841416036
147,2.9231644616900434
148,3.797728190622384
149,5
150,5
151,5
152,4.007622915981028
153,2.3632179172074155
154,5
155,4.4919650245568805
156,2.892047278933517
157,3.822166563421413
158,4.636761404647378
159,3.6880434559294297
160,4.2521460200319945
161,5
162,5
163,3.6880434559294297
164,3.0213767892627628
165,4.0213767892627645
166,4.867530635416608
167,5
168,2.73715246966568
169,4.677622834036731
170,4.745557616645426
171,4.837152469665682
172,4.268768168622708
173,4.70404945806915
174,3.6540494580691503
175,4.8043458238711425
176,4.156113706380145
177,2.6246732674847975
178,1.831394995826587
179,5
180,5
181,5
182,4.6337847205030736
183,3.8972373383243033
184,3.4888332300880798
185,1.0213767892627628
186,3.68883323008808
187,5
188,2.8972373383243033
189,2.892047278933517
190,4.558713945600183
191,5
192,3.8086216543544817
193,5
194,4.0017490235564495
195,3.9007389225463487
196,1.157935211496285
197,1.157935211496285
198,4.048786300174413
199,3.984921714689767
200,1.93937971070044
201,5
202,2.314962770762648
203,1
204,5
205,1
206,1.788505010727972
207,5
208,3.3884728079981263
209,4.975809964335546
210,5
211,5
212,3.2950048790755435
213,3.7442151049168935
